id,SurveyId,HAEntityId,NPI_Number,ServiceType
78720,56056,856796,1194757500,Hospital
78721,56056,856796,1306907670,Hospital
78722,56056,856797,1518129881,Hospital
78723,56056,856797,1093740128,Hospital
78724,56057,856886,1235135450,Hospital
78725,56058,856889,1114954997,Hospital
78726,56058,856889,1386680585,Hospital
78727,56058,856889,1477599678,Hospital
78728,56059,856891,1386689487,Hospital
78729,56060,856895,1881756989,Hospital
78730,56060,856895,1700874062,Hospital
78731,56061,856904,1437258969,Hospital
78732,56061,856904,1841492246,Hospital
78733,56062,856912,1891899332,Hospital
78734,56062,856913,1942276423,Hospital
78735,56063,856937,1679544555,Hospital
78736,56063,856937,1790791366,Hospital
78737,56063,856937,1801959218,Hospital
78738,56064,856941,1609061035,Hospital
78739,56064,856941,1992760342,Hospital
78740,56065,856946,1942277835,Hospital
78741,56066,856952,1477529030,Hospital
78742,56067,856958,1124061882,Hospital
78746,56069,856978,1699757393,Hospital
78747,56069,856979,1053375253,Hospital
78748,56069,856979,1518921717,Hospital
78749,56069,856979,1891777637,Hospital
78750,56069,856980,1043218944,Hospital
78751,56069,856981,1275576860,Hospital
78752,56069,856981,1679867170,Hospital
78753,56069,856982,1356461602,Hospital
78754,56069,856982,1508832833,Hospital
78755,56069,856982,1851411029,Hospital
78756,56069,856983,1467430710,Hospital
78757,56069,856983,1477541183,Hospital
78758,56069,856984,1013999705,Hospital
78759,56069,856984,1568440865,Hospital
78760,56069,856985,1467441394,Hospital
78761,56070,857069,1366473183,Hospital
78762,56070,857069,1639209596,Hospital
78763,56070,857069,1821164104,Hospital
78764,56070,857070,1053441907,Hospital
78765,56070,857070,1417989773,Hospital
78766,56070,857071,1104874817,Hospital
78767,56070,857071,1184774226,Hospital
78768,56070,857071,1649576885,Hospital
78769,56070,857071,1760866586,Hospital
78770,56070,857071,1871828970,Hospital
78771,56070,857072,1104956358,Hospital
80388,56070,868828,1487738886,Hospital
80389,56070,868828,1548440506,Hospital
78772,56071,857104,1942465752,Hospital
78773,56071,857104,1861506560,Hospital
78774,56072,857148,1740273994,Hospital
78775,56072,857148,1780677971,Hospital
78776,56073,857170,1780681189,Hospital
78777,56074,857182,1700949336,Hospital
78778,56074,857182,1952312043,Hospital
78779,56074,857182,1275694184,Hospital
78780,56074,857182,1891858429,Hospital
78781,56075,857190,1720022890,Hospital
78782,56075,857190,1023001021,Hospital
78783,56075,857190,1881697811,Hospital
78784,56075,857191,1689635138,Hospital
78785,56075,857192,1306923438,Hospital
78786,56075,857192,1497832521,Hospital
78787,56075,857192,1558364760,Hospital
78788,56076,857221,1306933619,Hospital
78789,56077,857233,1396705539,Hospital
78790,56077,857234,1902892391,Hospital
78791,56077,857235,1689677320,Hospital
78792,56077,857235,1487904546,Hospital
78793,56077,857236,1073510277,Hospital
78794,56077,857237,1346237971,Hospital
78795,56077,857238,1134178999,Hospital
78796,56077,857238,1891785903,Hospital
78797,56077,857239,1881928067,Hospital
78798,56077,857239,1083888515,Hospital
78799,56077,857240,1578552402,Hospital
78800,56077,857241,1497011035,Hospital
78801,56077,857241,1487917233,Hospital
78802,56077,857242,1073785333,Hospital
78803,56077,857242,1790957058,Hospital
78804,56077,857242,1033285010,Hospital
78805,56078,857350,1083640239,Hospital
78806,56078,857350,1831312925,Hospital
78807,56079,857353,1629007430,Hospital
78808,56080,857364,1356543383,Hospital
78809,56080,857364,1427030774,Hospital
78810,56081,857408,1740238641,Hospital
78811,56082,857413,1861496697,Hospital
78812,56083,857421,1306844519,Hospital
78813,56083,857421,1568411304,Hospital
78814,56083,857422,1619975331,Hospital
78815,56084,857440,1548284177,Hospital
78816,56084,857440,1275676272,Hospital
78817,56085,857443,1851440218,Hospital
78818,56086,857448,1427122209,Hospital
78819,56086,857448,1679787998,Hospital
78820,56086,857448,1801007893,Hospital
78821,56086,857448,1487724712,Hospital
78822,56087,857461,1992738959,Hospital
78823,56088,857482,1821016536,Hospital
78824,56088,857483,1396766903,Hospital
78825,56089,857489,1871678458,Hospital
78826,56090,857504,1225091697,Hospital
78827,56091,857525,1851396394,Hospital
81215,56091,878334,1144245655,Hospital
81216,56091,878334,1568584118,Hospital
78828,56092,857542,1568631877,Hospital
78829,56092,857542,1316940034,Hospital
78830,56093,857551,1174511620,Hospital
78831,56093,857552,1083759633,Hospital
78832,56094,857575,1235387044,Hospital
78833,56094,857575,1558306100,Hospital
78834,56095,857577,1174697353,Hospital
78835,56095,857577,1598814352,Hospital
78836,56095,857577,1760485221,Hospital
78837,56096,857591,1366446767,Hospital
78838,56097,857595,1013071653,Hospital
78839,56097,857595,1568671998,Hospital
78840,56097,857596,1366480873,Hospital
85290,56097,904992,1467492124,Hospital
85291,56097,904992,1528014834,Hospital
85292,56097,904992,1508932096,Hospital
85293,56097,904992,1497882799,Hospital
85294,56097,904992,1770610073,Hospital
85295,56097,904992,1306973607,Hospital
85296,56097,904992,1003131327,Hospital
85297,56097,904992,1740224344,Hospital
85298,56097,904992,1821032525,Hospital
85299,56097,904992,1851327746,Hospital
85300,56097,904992,1992749592,Hospital
78841,56098,857621,1245237486,Hospital
78842,56098,857622,1114197894,Hospital
78843,56098,857622,1265431829,Hospital
78844,56099,857641,1669466561,Hospital
78845,56099,857641,1932369907,Hospital
78846,56099,857641,1225291537,Hospital
78847,56099,857641,1396944856,Hospital
78848,56100,857657,1063463958,Hospital
78849,56100,857658,1528006103,Hospital
78850,56101,857680,1861615304,Hospital
78851,56101,857680,1700888286,Hospital
78852,56101,857680,1104828623,Hospital
78853,56102,857687,1346332954,Hospital
78854,56103,857695,1174545446,Hospital
78855,56103,857695,1518957950,Hospital
78856,56103,857696,1306868682,Hospital
78857,56103,857696,1659347920,Hospital
78858,56103,857697,1093705428,Hospital
78859,56103,857698,1699765453,Hospital
82525,56103,887509,1275505372,Hospital
82536,56103,887519,1023089984,Hospital
82597,56103,887570,1043282338,Hospital
78860,56104,857751,1689744450,Hospital
78861,56104,857752,1922178789,Hospital
78862,56104,857753,1619014156,Hospital
78863,56105,857789,1306871223,Hospital
78864,56105,857789,1447275037,Hospital
78865,56105,857790,1922024835,Hospital
78866,56106,857881,1164640645,Hospital
78867,56106,857881,1508881731,Hospital
78868,56106,857881,1548263973,Hospital
78869,56106,857881,1609970284,Hospital
78870,56106,857881,1720153968,Hospital
78871,56106,857881,1386695773,Hospital
78872,56107,857905,1750392304,Hospital
78873,56107,857906,1760492714,Hospital
78874,56107,857907,1619149952,Hospital
78875,56107,857907,1730368143,Hospital
78876,56107,857907,1750592192,Hospital
78877,56107,857907,1790907822,Hospital
78878,56107,857907,1912167560,Hospital
78879,56107,857907,1477531580,Hospital
78880,56107,857908,1205010113,Hospital
78881,56107,857908,1265616171,Hospital
78882,56107,857908,1528236247,Hospital
78883,56107,857908,1528242435,Hospital
78884,56107,857908,1912181827,Hospital
78885,56107,857908,1952585861,Hospital
78886,56107,857908,1336289552,Hospital
78887,56107,857909,1568668754,Hospital
78888,56107,857909,1144397134,Hospital
78889,56107,857909,1679637904,Hospital
83492,56107,892162,1275703910,Hospital
83493,56107,892162,1538219944,Hospital
78890,56108,858148,1154307452,Hospital
78891,56108,858148,1508038282,Hospital
78892,56108,858148,1568613040,Hospital
78893,56108,858148,1649260845,Hospital
78894,56108,858148,1992910152,Hospital
78895,56108,858148,1336478478,Hospital
78896,56108,858148,1871807446,Hospital
78897,56108,858148,1134436694,Hospital
78898,56108,858149,1609846088,Hospital
78899,56108,858149,1306004205,Hospital
78900,56108,858149,1073637724,Hospital
78901,56108,858149,1326229279,Hospital
78902,56108,858150,1013924182,Hospital
78903,56108,858150,1336139500,Hospital
78904,56108,858150,1578778726,Hospital
78905,56108,858150,1780747683,Hospital
83326,56108,891528,1700092459,Hospital
83327,56108,891528,1073530879,Hospital
83328,56108,891529,1033188651,Hospital
83329,56108,891529,1225142193,Hospital
83330,56108,891529,1649384421,Hospital
83331,56108,891529,1538275391,Hospital
83332,56108,891529,1629184486,Hospital
78906,56109,858194,1619973468,Hospital
78907,56110,858197,1619095718,Hospital
78908,56111,858202,1811108822,Hospital
78909,56112,858204,1902872997,Hospital
78910,56113,858211,1346325214,Hospital
78911,56113,858211,1235333931,Hospital
78912,56113,858211,1871797571,Hospital
78913,56113,858211,1689843575,Hospital
78914,56114,858223,1285742536,Hospital
